title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface,cache_gb,capacity_gb
Samsung 9100 PRO w/Heatsink,,189.99,1 TB,0.19,SSD,1024 MB,M.2-2280,M.2 PCIe 5.0 X4,1.024,1000.0
Silicon Power P34A60,4.0,27.99,256 GB,0.109,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,256.0
Western Digital WD Blue,1.0,84.99,4 TB,0.021,5400 RPM,256 MB,"3.5""",SATA 3.0 Gb/s,0.256,4000.0
ADATA LEGEND 860,,84.26,1 TB,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Samsung 860 QVO,4.5,102.0,1 TB,0.102,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Seagate Enterprise Capacity,,135.0,8 TB,0.017,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,8000.0
Samsung 970 Pro,4.5,239.99,512 GB,0.469,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4,0.512,512.0
Seagate BarraCuda,4.5,85.99,2 TB,0.043,5400 RPM,128 MB,"2.5""",SATA 6.0 Gb/s,0.128,2000.0
Western Digital WD Blue,4.0,59.99,2 TB,0.03,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,2000.0
Crucial P2,4.5,,500 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,500.0
Crucial T700 W/Heatsink,5.0,142.0,1 TB,0.142,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,1000.0
Silicon Power A55,4.5,22.99,256 GB,0.09,SSD,,"2.5""",SATA 6.0 Gb/s,,256.0
Western Digital VelociRaptor,5.0,66.3,1 TB,0.066,10000 RPM,64 MB,"2.5""",SATA 6.0 Gb/s,0.064,1000.0
Sabrent Rocket 4 Plus,4.5,119.99,1 TB,0.12,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Lexar NM790,,643.05,8 TB,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,8000.0
Seagate ST500LM021,4.5,20.49,500 GB,0.041,7200 RPM,32 MB,"2.5""",SATA 6.0 Gb/s,0.032,500.0
Patriot P210,5.0,53.99,1 TB,0.054,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
